date_key,full_date,year,quarter,month,month_name,month_index
20160904,2016-09-04,2016,3,9,September,0
20160905,2016-09-05,2016,3,9,September,0
20160906,2016-09-06,2016,3,9,September,0
20160907,2016-09-07,2016,3,9,September,0
20160908,2016-09-08,2016,3,9,September,0
20160909,2016-09-09,2016,3,9,September,0
20160910,2016-09-10,2016,3,9,September,0
20160911,2016-09-11,2016,3,9,September,0
20160912,2016-09-12,2016,3,9,September,0
20160913,2016-09-13,2016,3,9,September,0
20160914,2016-09-14,2016,3,9,September,0
20160915,2016-09-15,2016,3,9,September,0
20160916,2016-09-16,2016,3,9,September,0
20160917,2016-09-17,2016,3,9,September,0
20160918,2016-09-18,2016,3,9,September,0
20160919,2016-09-19,2016,3,9,September,0
20160920,2016-09-20,2016,3,9,September,0
20160921,2016-09-21,2016,3,9,September,0
20160922,2016-09-22,2016,3,9,September,0
20160923,2016-09-23,2016,3,9,September,0
20160924,2016-09-24,2016,3,9,September,0
20160925,2016-09-25,2016,3,9,September,0
20160926,2016-09-26,2016,3,9,September,0
20160927,2016-09-27,2016,3,9,September,0
20160928,2016-09-28,2016,3,9,September,0
20160929,2016-09-29,2016,3,9,September,0
20160930,2016-09-30,2016,3,9,September,0
20161001,2016-10-01,2016,4,10,October,1
20161002,2016-10-02,2016,4,10,October,1
20161003,2016-10-03,2016,4,10,October,1
20161004,2016-10-04,2016,4,10,October,1
20161005,2016-10-05,2016,4,10,October,1
20161006,2016-10-06,2016,4,10,October,1
20161007,2016-10-07,2016,4,10,October,1
20161008,2016-10-08,2016,4,10,October,1
20161009,2016-10-09,2016,4,10,October,1
20161010,2016-10-10,2016,4,10,October,1
20161011,2016-10-11,2016,4,10,October,1
20161012,2016-10-12,2016,4,10,October,1
20161013,2016-10-13,2016,4,10,October,1
20161014,2016-10-14,2016,4,10,October,1
20161015,2016-10-15,2016,4,10,October,1
20161016,2016-10-16,2016,4,10,October,1
20161017,2016-10-17,2016,4,10,October,1
20161018,2016-10-18,2016,4,10,October,1
20161019,2016-10-19,2016,4,10,October,1
20161020,2016-10-20,2016,4,10,October,1
20161021,2016-10-21,2016,4,10,October,1
20161022,2016-10-22,2016,4,10,October,1
20161023,2016-10-23,2016,4,10,October,1
20161024,2016-10-24,2016,4,10,October,1
20161025,2016-10-25,2016,4,10,October,1
20161026,2016-10-26,2016,4,10,October,1
20161027,2016-10-27,2016,4,10,October,1
20161028,2016-10-28,2016,4,10,October,1
20161029,2016-10-29,2016,4,10,October,1
20161030,2016-10-30,2016,4,10,October,1
20161031,2016-10-31,2016,4,10,October,1
20161101,2016-11-01,2016,4,11,November,2
20161102,2016-11-02,2016,4,11,November,2
20161103,2016-11-03,2016,4,11,November,2
20161104,2016-11-04,2016,4,11,November,2
20161105,2016-11-05,2016,4,11,November,2
20161106,2016-11-06,2016,4,11,November,2
20161107,2016-11-07,2016,4,11,November,2
20161108,2016-11-08,2016,4,11,November,2
20161109,2016-11-09,2016,4,11,November,2
20161110,2016-11-10,2016,4,11,November,2
20161111,2016-11-11,2016,4,11,November,2
20161112,2016-11-12,2016,4,11,November,2
20161113,2016-11-13,2016,4,11,November,2
20161114,2016-11-14,2016,4,11,November,2
20161115,2016-11-15,2016,4,11,November,2
20161116,2016-11-16,2016,4,11,November,2
20161117,2016-11-17,2016,4,11,November,2
20161118,2016-11-18,2016,4,11,November,2
20161119,2016-11-19,2016,4,11,November,2
20161120,2016-11-20,2016,4,11,November,2
20161121,2016-11-21,2016,4,11,November,2
20161122,2016-11-22,2016,4,11,November,2
20161123,2016-11-23,2016,4,11,November,2
20161124,2016-11-24,2016,4,11,November,2
20161125,2016-11-25,2016,4,11,November,2
20161126,2016-11-26,2016,4,11,November,2
20161127,2016-11-27,2016,4,11,November,2
20161128,2016-11-28,2016,4,11,November,2
20161129,2016-11-29,2016,4,11,November,2
20161130,2016-11-30,2016,4,11,November,2
20161201,2016-12-01,2016,4,12,December,3
20161202,2016-12-02,2016,4,12,December,3
20161203,2016-12-03,2016,4,12,December,3
20161204,2016-12-04,2016,4,12,December,3
20161205,2016-12-05,2016,4,12,December,3
20161206,2016-12-06,2016,4,12,December,3
20161207,2016-12-07,2016,4,12,December,3
20161208,2016-12-08,2016,4,12,December,3
20161209,2016-12-09,2016,4,12,December,3
20161210,2016-12-10,2016,4,12,December,3
20161211,2016-12-11,2016,4,12,December,3
20161212,2016-12-12,2016,4,12,December,3
20161213,2016-12-13,2016,4,12,December,3
20161214,2016-12-14,2016,4,12,December,3
20161215,2016-12-15,2016,4,12,December,3
20161216,2016-12-16,2016,4,12,December,3
20161217,2016-12-17,2016,4,12,December,3
20161218,2016-12-18,2016,4,12,December,3
20161219,2016-12-19,2016,4,12,December,3
20161220,2016-12-20,2016,4,12,December,3
20161221,2016-12-21,2016,4,12,December,3
20161222,2016-12-22,2016,4,12,December,3
20161223,2016-12-23,2016,4,12,December,3
20161224,2016-12-24,2016,4,12,December,3
20161225,2016-12-25,2016,4,12,December,3
20161226,2016-12-26,2016,4,12,December,3
20161227,2016-12-27,2016,4,12,December,3
20161228,2016-12-28,2016,4,12,December,3
20161229,2016-12-29,2016,4,12,December,3
20161230,2016-12-30,2016,4,12,December,3
20161231,2016-12-31,2016,4,12,December,3
20170101,2017-01-01,2017,1,1,January,4
20170102,2017-01-02,2017,1,1,January,4
20170103,2017-01-03,2017,1,1,January,4
20170104,2017-01-04,2017,1,1,January,4
20170105,2017-01-05,2017,1,1,January,4
20170106,2017-01-06,2017,1,1,January,4
20170107,2017-01-07,2017,1,1,January,4
20170108,2017-01-08,2017,1,1,January,4
20170109,2017-01-09,2017,1,1,January,4
20170110,2017-01-10,2017,1,1,January,4
20170111,2017-01-11,2017,1,1,January,4
20170112,2017-01-12,2017,1,1,January,4
20170113,2017-01-13,2017,1,1,January,4
20170114,2017-01-14,2017,1,1,January,4
20170115,2017-01-15,2017,1,1,January,4
20170116,2017-01-16,2017,1,1,January,4
20170117,2017-01-17,2017,1,1,January,4
20170118,2017-01-18,2017,1,1,January,4
20170119,2017-01-19,2017,1,1,January,4
20170120,2017-01-20,2017,1,1,January,4
20170121,2017-01-21,2017,1,1,January,4
